_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
104,53420641,2024-02-01T00:00:00,21:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,RUA DOM PEDRO SEGUNDO,VIA PÚBLICA
105,53432095,2024-02-01T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,PADRE GABRIEL,S/I,VIA PÚBLICA
106,53460789,2024-02-01T00:00:00,21:31:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,OUTRO LOCAL,RUA BARNABE NASCIMENTO,VIA PÚBLICA
107,53460812,2024-02-01T00:00:00,21:31:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,OUTRO LOCAL,S/I,VIA PÚBLICA
108,53466868,2024-02-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,VIA PÚBLICA
109,53494974,2024-02-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ARACAS,RUA SANTIAGO,VIA PÚBLICA
110,53616180,2024-02-01T00:00:00,10:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,NOVA AMERICA,RUA HELIÓPOLIS,VIA PÚBLICA
111,53840150,2024-02-01T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA I,ONIBUS,VIA PÚBLICA
112,56050353,2024-02-01T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,ARLINDO ANGELO VILLASCHI,RUA RIO NOVO DO SUL,VIA PÚBLICA
113,53343479,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SAO GERALDO,S/I,VIA PÚBLICA
114,53343717,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,BELA AURORA,AV ESPIRITO SANTO,VIA PÚBLICA
115,53343870,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,BELA AURORA,RUA CASTELO BRANCO,VIA PÚBLICA
116,53343961,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SAO FRANCISCO,S/I,OUTRO LOCAL
117,53344042,2024-03-01T00:00:00,06:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,BELA AURORA,RUA CASTELO BRANCO,VIA PÚBLICA
118,53344228,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,MORADA DE SANTA FE,RUA: DOM PEDRO II,VIA PÚBLICA
119,53345782,2024-03-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA ROSA DA PENHA,S/I,VIA PÚBLICA
120,53345903,2024-03-01T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,PARQUE GRAMADO,RUA JACARANDAS,VIA PÚBLICA
121,53346282,2024-03-01T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,SANTA MARTHA,RUA ROBERTO SILVEIRA,COMÉRCIO
122,53346333,2024-03-01T00:00:00,09:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA INES,AV CAPICHABA,VIA PÚBLICA
123,53346515,2024-03-01T00:00:00,12:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,INTERLAGOS,RUA BORBA GATO,VIA PÚBLICA
124,53346610,2024-03-01T00:00:00,04:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SOORETAMA,CENTRO,RUA VITORIO BOBBIO,VIA PÚBLICA
125,53348370,2024-03-01T00:00:00,16:28:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,NAO INFORMADA,VIA PÚBLICA
126,53348605,2024-03-01T00:00:00,14:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,CONCEICAO,AV GUERINO GIUBERT,COMÉRCIO
127,53349000,2024-03-01T00:00:00,05:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTA BARBARA,RUA ROSA PAULA PAULINA,VIA PÚBLICA
128,53349107,2024-03-01T00:00:00,15:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,JABURUNA,AVENIDA CARLOS LINDEMBERG,VIA PÚBLICA
129,53349170,2024-03-01T00:00:00,16:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,JARDIM LAGUNA,S/I,OUTRO LOCAL
130,53349282,2024-03-01T00:00:00,07:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,RUA ITAUNA,VIA PÚBLICA
131,53349338,2024-03-01T00:00:00,16:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,ITAPEMIRIM,ITAOCA,RUA EDJALMA FERREIRA DA CUNHA,VIA PÚBLICA
132,53349718,2024-03-01T00:00:00,18:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,BNH,S/I,VIA PÚBLICA
133,53349837,2024-03-01T00:00:00,19:12:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,BNH,RUA MELVIM JONES,VIA PÚBLICA
134,53350414,2024-03-01T00:00:00,18:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,JARDIM MARILANDIA,AV CARLOS LINDENBERG,VIA PÚBLICA
135,53350599,2024-03-01T00:00:00,21:09:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,MARATAIZES,LAGOA FUNDA,AV DOMINGOS MARTINS,VIA PÚBLICA
136,53351516,2024-03-01T00:00:00,23:05:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AV CHAMPAGNAT,VIA PÚBLICA
137,53351588,2024-03-01T00:00:00,20:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,BENTO FERREIRA,S/I,VIA PÚBLICA
138,53351704,2024-03-01T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,SAO GERALDO,S/I,VEÍCULO
139,53352813,2024-03-01T00:00:00,19:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,BELA VISTA,RODOVIA SERAFIM DERENZI,VEÍCULO
140,53352890,2024-03-01T00:00:00,21:46:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,INHANGUETA,S/I,OUTRO LOCAL
141,53353296,2024-03-01T00:00:00,20:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,S/I,VEÍCULO
142,53353546,2024-03-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM LIMOEIRO,BR 101,OUTRO LOCAL
143,53354477,2024-03-01T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AVENIDA ATONIO GIL VELOSO,VIA PÚBLICA
144,53355361,2024-03-01T00:00:00,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,EXPEDITO,RUA ROBERTO COUTO,VIA PÚBLICA
145,53355365,2024-03-01T00:00:00,19:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ALTO LAGE,RUA SANTA LUCIA,VIA PÚBLICA
146,53355412,2024-03-01T00:00:00,14:14:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,BENTO FERREIRA,AV MARECHAL MASCARENHAS DE MORAES,VIA PÚBLICA
147,53355641,2024-03-01T00:00:00,11:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,RESIDENCIAL CENTRO DA SERRA,S/I,REPARTICAO PUBLICA
148,53355796,2024-03-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,MARACANA,S/I,VIA PÚBLICA
149,53355844,2024-03-01T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ILHA DE SANTA MARIA,AVENIDA MARECHAL MASCARENHAS DE MORAES,VIA PÚBLICA
150,53356508,2024-03-01T00:00:00,14:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,NOVA CARAPINA II,S/I,VIA PÚBLICA
151,53361943,2024-03-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,JARDIM MARILANDIA,RUA DULCINOPOLIS,VIA PÚBLICA
152,53364584,2024-03-01T00:00:00,13:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,NOVO HORIZONTE,AVENIDA BRASIL,VEÍCULO
153,53364891,2024-03-01T00:00:00,10:33:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,GLORIA,AVENIDA CARLOS LINDENBERG,COMÉRCIO
154,53365035,2024-03-01T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,SANTA CRUZ,S/I,VIA PÚBLICA
155,53365059,2024-03-01T00:00:00,19:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,LARANJEIRAS VELHA,S/I,VIA PÚBLICA
156,53390317,2024-03-01T00:00:00,19:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,JARDIM AMERICA,RUA COSTA RICA,VIA PÚBLICA
157,53390971,2024-03-01T00:00:00,08:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,PARQUE GRAMADO,RUA DAS BRAUNAS,RESIDÊNCIA
158,53409459,2024-03-01T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,NOVO HORIZONTE,S/I,VIA PÚBLICA
159,53417010,2024-03-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,COLINA DE LARANJEIRAS,S/I,VIA PÚBLICA
160,53420478,2024-03-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTA BARBARA,S/I,VIA PÚBLICA
161,53452464,2024-03-01T00:00:00,12:11:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BOA VISTA II,RUA  JOSÉ MARIA VIVACQUA DOS SANTOS,VIA PÚBLICA
162,53467963,2024-03-01T00:00:00,14:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,MARCILIO DE NORONHA,S/I,VIA PÚBLICA
163,53477474,2024-03-01T00:00:00,16:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BARCELONA,S/I,VIA PÚBLICA
164,53479320,2024-03-01T00:00:00,13:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PARQUE JACARAIPE,RUA BELEM,VIA PÚBLICA
165,53495996,2024-03-01T00:00:00,19:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CAMPO GRANDE,AVENIDA EXPEDITO GARCIA,VIA PÚBLICA
166,53535447,2024-03-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,BENTO FERREIRA,PONTO DE ONIBUS,VIA PÚBLICA
167,53838041,2024-03-01T00:00:00,16:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JOANA DARC,S/I,VIA PÚBLICA
168,53984307,2024-03-01T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CARAPINA I,AVENIDA ALPHEU RIBEIRO,REPARTICAO PUBLICA
169,54261137,2024-03-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,CARIACICA,FLEXAL I,PRINCIPAL,EMBARCAÇÃO
170,54261530,2024-03-01T00:00:00,10:28:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MATA DA SERRA,S/I,VIA PÚBLICA
171,55285415,2024-03-01T00:00:00,12:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VISTA DA SERRA I,RUA,EMBARCAÇÃO
172,53351855,2024-04-01T00:00:00,00:58:56,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,COMÉRCIO
173,53352743,2024-04-01T00:00:00,05:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,NOSSA SENHORA DA PENHA,AV CARLOS LINDENBERG,VIA PÚBLICA
174,53353141,2024-04-01T00:00:00,06:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AV CHAMPAGNAT,VIA PÚBLICA
175,53353170,2024-04-01T00:00:00,09:11:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,JARDIM AMERICA,ROD BR 262,AGÊNCIA BANCÁRIA
176,53353274,2024-04-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,VIA PÚBLICA
177,53353658,2024-04-01T00:00:00,06:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,COLATINA,VILA AMELIA,RUA LUIZ PANCIERI,VIA PÚBLICA
178,53354354,2024-04-01T00:00:00,11:22:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,CENTRO,RUA JOAO CALMON,VIA PÚBLICA
179,53354966,2024-04-01T00:00:00,12:23:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CACHOEIRO DE ITAPEMIRIM,AQUIDABAN,RUA POTIGUARAS,VIA PÚBLICA
180,53356448,2024-04-01T00:00:00,14:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,RUA DUQUE DE CAXIAS,OUTRO LOCAL
181,53357283,2024-04-01T00:00:00,14:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VILA NOVA DE COLARES,RUA IGUATEMIM,VIA PÚBLICA
182,53357895,2024-04-01T00:00:00,12:48:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,COBILANDIA,S/I,OUTRO LOCAL
183,53362214,2024-04-01T00:00:00,13:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ANDORINHAS,S/I,VIA PÚBLICA
184,53363481,2024-04-01T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,GURIRI,RUA DA LAMA,VIA PÚBLICA
185,53363908,2024-04-01T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,RESIDENCIAL CENTRO DA SERRA,RUA CASTANHEIRO,VIA PÚBLICA
186,53363920,2024-04-01T00:00:00,18:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTA BARBARA,RUA DR ONISIO DE ALMEIDA RAMOS,VIA PÚBLICA
187,53363933,2024-04-01T00:00:00,09:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,COBILANDIA,AV CARLOS LINDENBERG,AGÊNCIA BANCÁRIA
188,53364544,2024-04-01T00:00:00,17:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTA CECILIA,RUA SÃO BENEDITO,COMÉRCIO
189,53364982,2024-04-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,RUA ITABAIANA,VIA PÚBLICA
190,53365636,2024-04-01T00:00:00,16:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,S/I,VIA PÚBLICA
191,53365958,2024-04-01T00:00:00,16:55:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PLANALTO SERRANO,S/I,VIA PÚBLICA
192,53365994,2024-04-01T00:00:00,23:55:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,PRAIA DE ITAPARICA,RODOVIA DO SOL,VIA PÚBLICA
193,53366254,2024-04-01T00:00:00,08:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,SAO DIOGO I,S/I,VIA PÚBLICA
194,53366922,2024-04-01T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,NOVA BETHANIA,RUA CASTELO,VIA PÚBLICA
195,53367316,2024-04-01T00:00:00,14:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,RUA,VIA PÚBLICA
196,53368386,2024-04-01T00:00:00,20:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,COLINA DE LARANJEIRAS,VEÍCULO
197,53368416,2024-04-01T00:00:00,01:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,COLINA DE LARANJEIRAS,RUA DOM PEDRO II,VIA PÚBLICA
198,53370246,2024-04-01T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,OUTRO LOCAL,S/I,VIA PÚBLICA
199,53375280,2024-04-01T00:00:00,23:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ZONA RURAL,RUA J,VIA PÚBLICA
200,53389969,2024-04-01T00:00:00,17:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PARQUE JACARAIPE,PRÓXIMO DA PRAÇA ENCONTRO DAS AGUAS,VEÍCULO
201,53395999,2024-04-01T00:00:00,20:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,CENTRO,AVENIDA JOAO 23,VIA PÚBLICA
202,53400739,2024-04-01T00:00:00,20:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,COLINA DE LARANJEIRAS,S/I,VEÍCULO
203,53402209,2024-04-01T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CACHOEIRO DE ITAPEMIRIM,ZUMBI,RUA MARIA SEBASTIANA DA CONCEIÇÃO,VIA PÚBLICA
204,53405675,2024-04-01T00:00:00,07:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ENSEADA DO SUA,AV AMERICO BUAIZ,VIA PÚBLICA
205,53410411,2024-04-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,VERA CRUZ,S/I,VIA PÚBLICA
206,53431945,2024-04-01T00:00:00,20:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,S/I,VIA PÚBLICA
